Dataset,1st HL,2nd HL,3rd HL,4th HL,5th HL,6th HL,Optimizer,Acc(500),Acc(1000),Acc(1500),Acc(2000),Acc(2500),Acc(3000),Acc(3500 ),Acc(4000),Acc(4500),Acc(5000),Acc(5500),Acc(6000),Acc(6500),Acc(7000),Acc(7500),Acc(8000),Acc(8500),Acc(9000),Acc(9500),Acc(10000),Acc(10500),Acc(11000),Acc(11500),Acc(12000),Acc(12500),Acc(13000),Acc(13500),Acc(14000),Acc(14500),Acc(15000),Acc(15500),Acc(16000),Acc(16500),Acc(17000),Acc(17500),Acc(18000),Acc(18500),Acc(19000),Acc(19500),Acc(20000),Loss
Dataset A,ReLU,ReLU,ReLU,ReLU,ReLU,ReLU,SGD,75.2601,75.1586,82.7962,80.3096,84.5217,81.629,82.9739,82.035,85.7397,76.7825,82.3903,83.8873,86.0949,86.2218,86.4501,83.1261,86.7039,81.7305,80.3349,84.9784,85.0799,84.7754,83.5575,83.5828,86.6531,84.7501,87.5666,84.0396,83.05,88.3278,70.9465,80.2842,86.9576,85.4859,89.1652,88.2517,86.2218,86.3486,87.5666,81.629,0.0724
Dataset 2,ReLU,ReLU,ReLU,ReLU,ReLU,ReLU,SGD,88.67,88.41,89.18,87.34,88.82,89.0,89.09,89.28,88.83,88.88,88.4,88.69,88.06,89.33,88.37,89.02,89.21,88.62,88.18,89.02,87.8,89.22,89.52,87.44,88.13,89.15,88.93,88.77,88.33,89.33,89.47,88.23,88.78,89.02,89.46,88.84,89.55,88.98,88.43,89.8,0.1008
Dataset A,ELU,ELU,ELU,ELU,ELU,ELU,SGD,74.981,83.1769,79.4468,83.1261,77.4676,76.884,73.8645,78.914,81.9843,81.2738,83.9635,64.2984,87.4397,85.0292,67.1403,85.2829,80.6141,86.2471,88.0487,50.1142,87.2875,81.9843,86.577,81.5022,85.9934,88.5055,84.1411,84.1918,87.0084,85.4605,87.2114,87.0591,83.4052,87.1099,89.0129,81.2484,72.4182,88.5055,87.8457,84.3187,0.0843
Dataset 2,ELU,ELU,ELU,ELU,ELU,ELU,SGD,85.65,86.42,86.71,87.03,86.14,85.77,85.98,86.96,86.03,87.15,86.14,87.11,86.17,86.63,87.32,87.1,86.79,87.27,86.81,87.38,86.58,87.46,87.43,88.04,87.55,87.6,87.18,87.12,87.61,87.85,87.98,87.45,87.87,87.86,87.94,88.23,87.61,88.31,88.53,88.0,0.1788
Dataset A,ELU,ELU,ELU,ELU,ELU,ELU,ASGD,82.6947,88.8607,87.5666,87.389,86.8054,89.5458,83.1261,89.8249,85.0799,88.7338,69.7792,85.2068,89.2159,87.2621,86.2218,89.4951,89.4189,86.78,89.2667,88.5308,86.577,90.5861,89.5712,89.2159,89.698,88.6577,87.5666,83.5321,89.3428,89.7995,89.8757,87.9218,90.8399,91.0175,73.3824,83.5067,90.5861,89.2413,90.51,90.3832,0.0947
Dataset 2,ELU,ELU,ELU,ELU,ELU,ELU,ASGD,87.82,87.02,88.06,87.78,87.48,87.81,87.45,87.15,87.57,87.92,87.88,88.21,87.54,88.63,88.37,87.83,88.32,87.59,88.68,85.99,87.73,88.09,88.22,88.04,88.49,88.38,87.85,88.59,87.76,87.82,88.03,88.17,87.82,88.66,88.96,88.83,87.78,88.5,88.54,88.49,0.219
Dataset A,Tanh,Tanh,Tanh,Tanh,Tanh,Tanh,SGD,23.0906,20.0964,35.4732,27.9117,28.3177,14.9962,28.6983,32.9866,19.9696,15.6052,30.9312,27.5818,32.1492,30.8044,20.9591,25.831,23.4712,26.8206,36.4375,21.6189,25.1459,30.3223,21.6189,21.5428,32.1238,23.1921,36.4882,31.6163,27.9624,23.2428,42.3243,33.1388,28.4446,37.0211,36.9703,26.8206,25.9833,32.4791,35.2195,24.0041,2.1363
Dataset 2,Tanh,Tanh,Tanh,Tanh,Tanh,Tanh,SGD,45.88,62.3,65.45,73.85,76.46,78.58,79.71,81.46,81.46,82.83,82.98,83.71,82.57,84.47,83.13,84.79,83.47,85.52,84.98,85.55,85.77,85.01,84.49,85.02,85.41,86.45,85.99,86.68,86.21,86.8,86.01,86.77,85.61,86.6,86.45,86.78,85.93,83.12,85.71,87.33,0.4072
Dataset A,Tanh,Tanh,Tanh,Tanh,Tanh,Tanh,ASGD,12.9663,19.2337,20.9845,13.6514,34.6105,34.2045,20.3755,21.4413,14.7932,30.4745,26.3892,23.116,18.574,24.0294,25.3996,21.492,36.9196,30.0178,21.8726,29.5103,35.9807,39.9645,27.7595,22.1517,41.3093,25.9833,39.2032,32.5552,31.5656,33.1134,34.3314,29.7386,16.0873,23.0652,27.5565,28.3938,24.2071,12.9916,11.0124,26.7191,2.2208
Dataset 2,Tanh,Tanh,Tanh,Tanh,Tanh,Tanh,ASGD,45.64,59.57,68.03,73.91,73.73,75.91,77.77,79.09,79.57,80.57,82.32,82.0,83.29,82.7,84.22,83.31,82.96,82.99,85.45,85.42,85.87,85.82,85.9,85.94,84.95,85.78,86.16,85.69,85.52,86.01,84.52,87.08,86.93,86.64,85.85,86.64,86.41,87.15,86.83,87.22,0.415
Dataset A,SELU,SELU,SELU,SELU,SELU,SELU,SGD,11.2408,12.4588,26.4146,14.8693,44.7348,14.3618,38.3913,47.932,26.7191,54.9353,56.5592,50.2157,33.7732,44.6841,42.4765,53.7173,51.865,62.5476,69.0434,60.2639,70.1599,62.1162,70.3882,27.4042,72.2659,67.5209,67.4702,62.5983,66.2268,29.5103,65.3641,78.8379,63.5625,77.3408,75.2855,79.2692,73.5346,77.087,78.0513,73.2809,0.5037
Dataset 2,SELU,SELU,SELU,SELU,SELU,SELU,SGD,73.79,78.98,81.59,81.55,82.36,83.67,84.26,82.96,84.27,83.7,85.0,83.85,84.7,85.07,83.93,85.01,85.79,86.32,84.32,84.87,86.35,86.19,86.33,86.28,85.27,85.98,85.3,85.8,86.9,87.09,86.2,86.04,86.47,86.14,86.95,87.21,86.9,86.28,87.28,87.3,0.1688
Dataset A,PReLU,PReLU,PReLU,PReLU,PReLU,PReLU,SGD,9.896,25.7803,21.4666,38.6958,30.7029,12.4334,21.8472,26.9728,45.8513,36.6658,57.2951,54.0472,46.4095,56.5846,53.5905,59.8325,36.4121,54.2756,64.6283,61.7102,66.6582,71.0226,67.7747,60.3146,67.1657,72.9003,69.4494,75.7929,74.8033,54.8084,65.897,66.4552,74.0675,80.8171,75.8691,75.9959,82.5679,76.7825,79.5991,82.3649,0.6417
Dataset 2,PReLU,PReLU,PReLU,PReLU,PReLU,PReLU,SGD,74.09,79.94,81.06,82.08,82.92,82.4,83.81,83.98,84.83,82.47,84.48,85.06,84.99,85.17,85.2,85.32,85.26,84.68,85.68,84.8,85.66,86.03,86.03,85.93,85.29,86.58,86.53,86.59,86.48,87.06,86.47,86.84,85.52,86.69,87.01,87.25,86.55,86.62,85.95,85.85,0.2986
Dataset A,ReLU,ELU,ReLU,ELU,ReLU,ELU,SGD,70.5405,68.9926,75.9706,66.4045,75.7422,57.8533,72.4182,69.6016,64.9074,71.6062,75.3362,78.711,78.3304,77.1378,72.342,77.696,71.2002,58.6146,78.8379,78.914,83.05,81.629,70.6166,80.2081,81.4768,84.0142,84.2426,79.0662,82.3903,52.2964,81.8574,82.847,78.9394,86.3486,86.171,60.8729,72.951,83.6843,83.5067,87.3129,0.3373
Dataset 2,ReLU,ELU,ReLU,ELU,ReLU,ELU,SGD,31.88,36.09,59.55,71.48,73.1,75.72,76.9,78.3,77.55,80.0,82.0,81.52,83.63,81.58,84.03,83.7,84.23,83.92,85.23,84.9,84.72,85.66,85.59,86.36,85.84,85.27,85.19,85.47,85.28,86.03,85.66,86.59,86.49,86.25,86.13,87.73,86.49,86.2,86.06,86.67,0.6919
